pathway,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12
u1,c,b,acd,a,b,a,c,abd,acd,a,,
u1,a,abc,c,bce,e,d,a,c,d,c,,
u1,a,a,c,bd,b,c,b,d,a,c,,
u2,b,abc,b,b,b,c,b,d,a,b,,
u2,c,a,a,a,d,c,b,,,,,
u2,a,a,b,a,b,b,b,a,b,c,,
u3,a,a,d,a,d,acd,ab,b,a,d,,
u3,a,c,d,b,a,c,d,a,,,,
u3,d,b,a,a,c,b,a,a,a,d,b,c
u4,a,d,b,b,a,a,b,a,b,b,,
u4,c,a,a,c,b,d,b,b,b,a,af
u4,b,acd,d,a,d,c,b,a,a,d,,
u5,a,main,bcd,a,ad,ab,c,a,c,d,,
u5,d,a,c,d,b,c,abc,b,d,a,,
u6,ad,b,a,c,b,bd,b,c,b,a,,
u6,d,d,c,b,bcd,a,,acd,a,c,,
u6,ab,b,d,a,b,,,,,,,
u7,abd,a,b,acd,bcd,b,b,a,a,ac,,
u8,a,d,b,acd,c,b,b,c,,,,
u9,a,bd,a,ab,b,a,acd,b,,,,
u10,a,b,c,c,a,c,,,,,,
u11,b,b,c,bd,abd,,,,,,,
